0.9 0.49 2.99134 8.96586
0.91 0.3 3.01216 9.12207
0.91 0.31 3.00811 9.09382
0.91 0.32 3.00586 9.07643
0.91 0.33 3.00428 9.06326
0.91 0.34 3.00323 9.05405
0.91 0.35 3.00114 9.03858
0.91 0.36 2.99913 9.02354
0.91 0.37 2.99802 9.01459
0.91 0.38 2.99733 9.00832
0.91 0.39 2.99689 9.00392
0.91 0.4 2.99565 8.99516
0.91 0.41 2.99485 8.989
0.91 0.42 2.99441 8.98521
0.91 0.43 2.99377 8.98041
0.91 0.44 2.99308 8.97555
0.91 0.45 2.99241 8.97097
0.91 0.46 2.99205 8.96845
0.91 0.47 2.99147 8.96476
0.91 0.48 2.99108 8.96232
0.91 0.49 2.99058 8.95939
0.92 0.3 3.00966 9.10206
0.92 0.31 3.00594 9.07608
0.92 0.32 3.00437 9.06282
0.92 0.33 3.0032 9.0528
0.92 0.34 3.00168 9.04064
0.92 0.35 2.99956 9.02495
0.92 0.36 2.99811 9.01382
0.92 0.37 2.99738 9.00725
0.92 0.38 2.99587 8.99653
0.92 0.39 2.99501 8.98979
0.92 0.4 2.99426 8.98389
0.92 0.41 2.99401 8.98116
0.92 0.42 2.99359 8.97773
0.92 0.43 2.99294 8.97309
0.92 0.44 2.99199 8.96671
0.92 0.45 2.99143 8.96294
0.92 0.46 2.99091 8.95958
0.92 0.47 2.99054 8.95728
0.92 0.48 2.99022 8.95546
0.92 0.49 2.98996 8.9541
0.93 0.3 3.00598 9.07598
0.93 0.31 3.00422 9.06146
0.93 0.32 3.00335 9.053
0.93 0.33 3.00186 9.04064
0.93 0.34 3 9.02659
0.93 0.35 2.99906 9.01839
0.93 0.36 2.99788 9.00918
0.93 0.37 2.99541 8.9926
0.93 0.38 2.99459 8.98601
0.93 0.39 2.99398 8.9809
0.93 0.4 2.99366 8.97775
0.93 0.41 2.99299 8.97273
0.93 0.42 2.99238 8.96834
0.93 0.43 2.99214 8.96636
0.93 0.44 2.99166 8.96306
0.93 0.45 2.99132 8.96082
0.93 0.46 2.99098 8.95868
0.93 0.47 2.99069 8.95704
0.93 0.48 2.99046 8.95587
0.93 0.49 2.99028 8.9551
0.94 0.3 3.00508 9.06685
0.94 0.31 3.00367 9.05457
0.94 0.32 3.00199 9.04084
0.94 0.33 3.00016 9.02692
0.94 0.34 2.99921 9.01853
0.94 0.35 2.99756 9.00676
0.94 0.36 2.99662 8.99912
0.94 0.37 2.99573 8.99204
0.94 0.38 2.99452 8.98328
0.94 0.39 2.99424 8.98032
0.94 0.4 2.99358 8.97534
0.94 0.41 2.99298 8.97101
0.94 0.42 2.99259 8.96805
0.94 0.43 2.99213 8.96492
0.94 0.44 2.99175 8.96239
0.94 0.45 2.99144 8.96047
0.94 0.46 2.9912 8.95911
0.94 0.47 2.99102 8.95827
0.94 0.48 2.99107 8.95891
0.94 0.49 2.99114 8.95984
0.95 0.3 3.00402 9.05661
0.95 0.31 3.00263 9.04452
0.95 0.32 3.00083 9.03071
0.95 0.33 2.99987 9.02215
0.95 0.34 2.9982 9.01024
0.95 0.35 2.99726 9.0025
0.95 0.36 2.99652 8.9962
0.95 0.37 2.99559 8.98912
0.95 0.38 2.99497 8.98403
0.95 0.39 2.99431 8.97907
0.95 0.4 2.99384 8.97542
0.95 0.41 2.99332 8.97172
0.95 0.42 2.99288 8.96867
0.95 0.43 2.99251 8.96623
0.95 0.44 2.99221 8.96434
0.95 0.45 2.99196 8.96293
0.95 0.46 2.99181 8.96227
0.95 0.47 2.99186 8.96298
0.95 0.48 2.99198 8.96418
0.95 0.49 2.99208 8.9654
0.96 0.3 3.00451 9.05582
0.96 0.31 3.00251 9.04078
0.96 0.32 3.00012 9.02399
0.96 0.33 2.99909 9.0155
0.96 0.34 2.99822 9.00805
0.96 0.35 2.99733 9.00083
0.96 0.36 2.99652 8.99441
0.96 0.37 2.99624 8.99134
0.96 0.38 2.99542 8.98536
0.96 0.39 2.9947 8.98017
0.96 0.4 2.9942 8.97656
0.96 0.41 2.99378 8.97362
0.96 0.42 2.99343 8.9713
0.96 0.43 2.99315 8.96954
0.96 0.44 2.99294 8.96832
0.96 0.45 2.99282 8.96784
0.96 0.46 2.99281 8.96816
0.96 0.47 2.99293 8.96942
0.96 0.48 2.99306 8.97086
0.96 0.49 2.9932 8.97248
0.97 0.3 3.00354 9.04739
0.97 0.31 3.00114 9.03044
0.97 0.32 3.00022 9.02245
0.97 0.33 2.99919 9.01396
0.97 0.34 2.99829 9.00665
0.97 0.35 2.99768 9.00133
0.97 0.36 2.99721 8.99703
0.97 0.37 2.99649 8.99161
0.97 0.38 2.99612 8.98848
0.97 0.39 2.99532 8.98307
0.97 0.4 2.99481 8.97959
0.97 0.41 2.99449 8.97738
0.97 0.42 2.99423 8.97574
0.97 0.43 2.99403 8.97466
0.97 0.44 2.99385 8.97378
0.97 0.45 2.99389 8.97441
0.97 0.46 2.99403 8.97576
0.97 0.47 2.99419 8.97739
0.97 0.48 2.99441 8.97948
0.97 0.49 2.99465 8.98184
0.98 0.3 3.00206 9.03655
0.98 0.31 3.0013 9.02939
0.98 0.32 3.00024 9.02065
0.98 0.33 2.99934 9.01327
0.98 0.34 2.99878 9.00818
0.98 0.35 2.99833 9.00391
0.98 0.36 2.99781 8.99956
0.98 0.37 2.9972 8.99501
0.98 0.38 2.99656 8.99049
